TIME_1,RE_1,LE_1
2005-01-15 11:09:27.1305,-8.1,2.1
2005-01-15 11:09:27.1310,-8,2.1
2005-01-15 11:09:27.1316,-8,2.3
2005-01-15 11:09:27.1322,-7.9,2.2
2005-01-15 11:09:27.1328,-7.7,2.2
2005-01-15 11:09:27.1334,-7.6,2.2
2005-01-15 11:09:27.1340,-7.7,2.1
2005-01-15 11:09:27.1346,-7.9,2.1
2005-01-15 11:09:27.1352,-7.9,2.1
2005-01-15 11:09:27.1358,-7.9,2.1
2005-01-15 11:09:27.1364,-8.1,2.4
2005-01-15 11:09:27.1369,-8.1,2.6
2005-01-15 11:09:27.1375,-8.1,2.6
2005-01-15 11:09:27.1381,-8.1,2.7
2005-01-15 11:09:27.1387,-8,2.8
2005-01-15 11:09:27.1393,-8,2.8
2005-01-15 11:09:27.1399,-7.9,2.9
2005-01-15 11:09:27.1405,-8,2.9
2005-01-15 11:09:27.1411,-7.9,3
2005-01-15 11:09:27.1417,-7.8,3
2005-01-15 11:09:27.1423,-7.9,3
2005-01-15 11:09:27.1428,-7.8,3.1
2005-01-15 11:09:27.1434,-7.9,3.1
2005-01-15 11:09:27.1440,-8.1,3
2005-01-15 11:09:27.1446,-8.1,3
2005-01-15 11:09:27.1452,-8.2,2.8
2005-01-15 11:09:27.1458,-8.3,2.7
2005-01-15 11:09:27.1464,-8.5,2.6
2005-01-15 11:09:27.1470,-8.5,2.5
2005-01-15 11:09:27.1476,-8.7,2.3
2005-01-15 11:09:27.1482,-8.8,2.4
2005-01-15 11:09:27.1487,-8.9,2.5
2005-01-15 11:09:27.1493,-8.9,2.7
2005-01-15 11:09:27.1499,-8.9,2.8
